samples,mean_incremental_ev,standard_error,confidence_interval_95_low,confidence_interval_95_high,recommended_decision,busted_total,dealer_upcard
1053,-0.06410256410256421,0.024314933787277896,-0.11175983432562889,-0.016445293879499535,decline,26,10
1350,0.009629629629629618,0.02268735053907912,-0.03483757742696546,0.0540968366862247,uncertain,25,10
1597,-0.0410144020037571,0.02018587771359293,-0.08057872232239924,-0.0014500816851149567,decline,24,10
1880,0.04627659574468089,0.019822039660619496,0.007425398009866677,0.0851277934794951,rescue,23,10
198,2.5153490401663703e-17,0.06065411108582459,-0.11888205772821617,0.11888205772821622,uncertain,26,A
2086,0.08149568552253125,0.018973024508592493,0.044308557485689966,0.11868281355937255,rescue,22,10
223,0.08295964125560538,0.058636806620337545,-0.0319684997202562,0.19788778223146697,uncertain,25,A
245,0.279591836734694,0.060123932336520094,0.16174892935511465,0.3974347441142734,rescue,22,3
254,0.07874015748031493,0.054364346731560854,-0.027813962113544338,0.1852942770741742,uncertain,26,8
269,-0.02044609665427509,0.050949148316768667,-0.12030642735514167,0.0794142340465915,uncertain,26,7
270,0.36666666666666686,0.05833997129872361,0.25232032292116857,0.48101301041216515,rescue,22,2
278,0.021582733812949645,0.05036945078941284,-0.07714138973429951,0.1203068573601988,uncertain,24,A
300,-0.07333333333333335,0.04471969763284515,-0.16098394069370983,0.014317274027043136,uncertain,26,9
337,0.14391691394658743,0.04894589997136904,0.04798295000270411,0.23985087789047074,rescue,25,8
346,-0.03757225433525998,0.04312610123002097,-0.12209941274610106,0.04695490407558111,uncertain,23,A
349,0.11318051575931229,0.047738033234611524,0.019613970619473703,0.20674706089915088,rescue,25,7
362,0.13259668508287284,0.04695592412915957,0.040563073789720086,0.2246302963760256,rescue,24,7
382,0.049738219895287976,0.043433066070106,-0.03539058960211978,0.13486702939269574,uncertain,25,9
390,0.06923076923076933,0.04369334004263428,-0.016408177252793865,0.15486971571433253,uncertain,22,A
398,0.15829145728643218,0.044969434393690756,0.0701513658747983,0.24643154869806605,rescue,24,8
403,-0.003722084367245655,0.04118118963582813,-0.0844372160534688,0.07699304731897749,uncertain,24,9
442,0.0927601809954751,0.042052151168231515,0.010337964705741332,0.17518239728520887,rescue,23,8
459,0.007625272331154683,0.03832177620106289,-0.06748540902292857,0.08273595368523795,uncertain,23,9
521,0.22360844529750468,0.04058299202323315,0.1440657809319677,0.30315110966304165,rescue,23,7
530,0.2075471698113207,0.039690181694652216,0.12975441368980237,0.2853399259328391,rescue,22,7
542,0.18450184501845038,0.03948057718143842,0.10711991374283107,0.26188377629406967,rescue,22,8
565,0.04867256637168138,0.03542567818019883,-0.020761762861508326,0.11810689560487109,uncertain,22,9
