samples,mean_incremental_ev,standard_error,confidence_interval_95_low,confidence_interval_95_high,recommended_decision,pre_hit_total,pre_hit_soft,dealer_upcard
1297,0.07902852737085579,0.024294954315000502,0.03141041691345481,0.12664663782825678,rescue,13,False,10
1640,0.021951219512195128,0.02087401253254633,-0.018961845051595677,0.06286428407598593,uncertain,14,False,10
169,0.20414201183431954,0.07052291817269148,0.06591709221584424,0.34236693145279484,rescue,12,False,A
1946,-0.011305241521068859,0.018605702665885283,-0.04777241874620401,0.02516193570406629,uncertain,15,False,10
2085,-0.06067146282973623,0.017347281551207214,-0.09467213467010237,-0.026670790989370086,decline,16,False,10
245,0.279591836734694,0.060123932336520094,0.16174892935511465,0.3974347441142734,rescue,12,False,3
246,1.9081958235744878e-17,0.05240206522033486,-0.1027080478318563,0.10270804783185633,uncertain,13,False,A
254,0.22047244094488203,0.056501814143536964,0.10972888522354958,0.3312159966662145,rescue,12,False,7
258,0.2519379844961242,0.05813903216183379,0.13798548145892997,0.36589048753331843,rescue,12,False,8
262,0.0687022900763359,0.053024595379579396,-0.03522591686763972,0.17263049702031152,uncertain,12,False,9
270,0.36666666666666686,0.05833997129872361,0.25232032292116857,0.48101301041216515,rescue,12,False,2
293,0.025597269624573364,0.04895681369106558,-0.07035808520991518,0.1215526244590619,uncertain,14,False,A
318,0.12264150943396228,0.050464283030621684,0.023731514693943773,0.22155150417398078,rescue,13,False,8
326,0.03987730061349695,0.04729408511586734,-0.05281910621360304,0.13257370744059693,uncertain,15,False,A
335,0.04029850746268658,0.04604337719297001,-0.04994651183553464,0.1305435267609078,uncertain,13,False,9
352,0.32102272727272724,0.05087015045977959,0.22131723237155926,0.4207282221738952,rescue,13,False,7
381,0.16666666666666657,0.046471480192089056,0.07558256549017203,0.2577507678431611,rescue,14,False,7
397,0.15239294710327456,0.04511829227222135,0.06396109424972071,0.2408247999568284,rescue,14,False,8
400,0.017499999999999974,0.041273394672227105,-0.06339585355756515,0.0983958535575651,uncertain,14,False,9
401,-0.04114713216957607,0.04084297773081944,-0.12119936852198218,0.03890510418283003,uncertain,16,False,A
487,0.09548254620123194,0.0399269906456765,0.017225644535705992,0.17373944786675788,rescue,15,False,8
492,0.12398373983739834,0.04045901910212851,0.04468406239722646,0.2032834172775702,rescue,15,False,7
513,0.11988304093567245,0.03916450827806337,0.04312060471066824,0.19664547716067665,rescue,16,False,8
523,-0.008604206500955995,0.0352231940021862,-0.07764166674524095,0.06043325374332895,uncertain,15,False,9
552,0.027173913043478257,0.036246265459031014,-0.04386876725622253,0.09821659334317905,uncertain,16,False,7
589,-0.012733446519524634,0.03394878251140086,-0.07927306024187034,0.05380616720282106,uncertain,16,False,9
998,0.1472945891783566,0.02817466934111619,0.09207223726976888,0.20251694108694435,rescue,12,False,10
